genes	logFC.time1h.treatSW	logFC.time2h.treatSW	logFC.time6h.treatSW	logFC.time24h.treatSW	logCPM	F	PValue	FDR
Trib1	0.877816882059661	1.0775245063603	0.288814371041196	0.00242957625727677	6.68293901331967	22.1906821277023	1.32159497542132e-08	3.49824379589947e-06
Fos	3.07886850936424	1.6094016688991	0.00877817398199207	-0.779369191288107	5.73590963316451	22.0889042239279	1.38999660351551e-08	3.62958167158515e-06
Sesn2	-0.00293326112564231	1.5755836207844	0.77744660411023	0.311408400076814	5.93359238359061	22.0112783220958	1.44470066534776e-08	3.70822399667129e-06
Kctd20	0.592549825969163	0.907468956094173	0.421198318988631	-0.255228198952558	6.45959690834286	21.9921981538209	1.45849518059835e-08	3.70822399667129e-06
Aldh18a1	-0.167584229165249	0.593311904284156	1.34701343165813	0.686887564791176	6.58615405375782	21.8851212004538	1.53856012578528e-08	3.86098666370766e-06
Zfand2a	0.806639830854546	1.18484836137268	0.893799894669959	0.258287853505729	6.23512605234956	21.8217164139219	1.58816840845814e-08	3.93438181495342e-06
Fam84b	0.10283165554611	1.57618160445396	1.30558049380188	0.487615708808773	4.90162208982904	21.3614136132831	2.00367677628292e-08	4.90089194279934e-06
Ssr2	-0.0846825835409766	0.168175431983809	0.644778364650782	0.862546884601083	8.08111603228784	21.1641869640598	2.21591424793154e-08	5.35226387659764e-06
Slc3a2	0.413195010891003	1.14660060895892	0.706613185686295	0.0601996099507731	7.17391715447571	20.8115903891445	2.65739707015952e-08	6.33936834403611e-06
Hivep2	-0.115883517866878	0.862610851344342	0.728105169300735	-0.121740281169426	7.7315989770988	20.678821271157	2.84717779774063e-08	6.70927031533442e-06
Gem	1.61557874483536	1.33314631114785	0.681532149801607	-0.162661422509439	4.47209360564588	20.5229965587368	3.08851760881323e-08	7.19029225965037e-06
Prrc1	-0.0978407523043197	0.182133657672866	0.836312598015208	0.543624044179969	6.86814358618907	20.4444842103263	3.21829693522672e-08	7.40323234278404e-06
Sec24d	-0.185506030956932	0.309853890488099	1.15765150311169	0.546616569513097	7.4103782904244	19.9887341986557	4.09604142925968e-08	9.31150688677468e-06
Tiparp	0.529758269543538	0.777923753730932	0.657452818246343	-0.269861043198506	6.19276811648378	19.9230373557209	4.24229625162102e-08	9.53184772907825e-06
Lonp1	-0.0883952707483966	0.301919592400662	0.759372371676955	0.651210437354912	7.0441863877298	19.4499152289343	5.47500027036191e-08	1.21601643935866e-05
Sqstm1	0.0273971337886512	0.554137336946857	1.02435374651639	0.520161720296986	8.8878314008081	19.3955971348074	5.63927308620135e-08	1.23826902096214e-05
Ccsap	0.636758445872211	0.911193986599346	-0.423732084577489	-0.334488736404295	4.42093620920295	19.2721339976689	6.0325260324294e-08	1.29830015847376e-05
Slc35b1	0.0253324694323269	0.255839498869502	0.912250156971197	0.856870669413387	6.66367521209526	19.2677419588944	6.04704312284003e-08	1.29830015847376e-05
Ern1	-0.0885858753296175	0.525279977480015	0.924697719157052	0.200745505052521	7.57039913764775	19.0432388041112	6.84104959127381e-08	1.45263298079323e-05
Bach1	0.419377729890024	0.995527983073697	0.387489138895087	0.0743934869376585	5.85145757553748	18.9879744910799	7.05308681793537e-08	1.48137822372788e-05
Nnat	-0.287272735858021	-0.242264288397636	-0.458135077680218	-2.06989380334839	8.17688202040053	18.9268736911993	7.29569864020925e-08	1.51585790134154e-05
Uso1	-0.1226157679659	0.205261675713618	0.937399694891626	0.484629374831381	7.96009375366105	18.7466250443364	8.06469027376624e-08	1.65780861872325e-05
Srm	-0.12283089002661	0.327144800457148	1.27252320143623	0.653874917333204	5.31125852674289	18.5462102273589	9.0223101778788e-08	1.83513789018055e-05
Tars	0.0866837206825286	0.488479329974897	1.09255471918714	0.295550116596602	6.28810897554153	18.1849961738096	1.10679325256927e-07	2.22776729368708e-05
Cyb5r1	-0.0783502306030808	0.247299571973694	1.01290078539087	1.09079127403664	5.49544428244892	18.0958514908838	1.16453931796099e-07	2.31983435473816e-05
Lman1	-0.110685231299505	0.167020025445452	0.826559148663417	0.79630633474565	8.22573763000025	18.0497098147134	1.19568276366491e-07	2.35756918798949e-05
Gpd2	-0.158685918259988	0.0196845352595314	-0.859963213691038	-0.925084242735249	8.70815053487922	17.9965364467756	1.23267690806113e-07	2.40596120146113e-05
Atf6	-0.0771758999805224	0.194860132931642	0.938555403113858	0.288052787702672	7.60273194050457	17.9463410050815	1.2687202278101e-07	2.45154809619746e-05
Syvn1	0.0788039998187849	0.887957647271984	1.15242275616128	0.559361637919514	7.39894709625353	17.8710525547411	1.32490358638851e-07	2.51848752233969e-05
Stk32a	-0.0023826108158944	0.828292169819271	0.93298645000453	0.48963652374707	6.78283760011852	17.8651359273949	1.32942983635382e-07	2.51848752233969e-05
Lgi2	-0.331219261977293	-0.399624167006169	0.87712427977834	1.76728318679061	3.56980995773962	17.7456118880323	1.42448574293514e-07	2.67236291366367e-05
Ret	-0.424089471077842	-0.741864778627109	-1.17693111120953	-0.0628791439722128	6.16522129483347	17.7000981130363	1.46256457127092e-07	2.71741684717961e-05
Eif3c	-0.0250493429972291	0.247794083805805	0.826985200357098	0.381533298233625	8.3472527364137	17.6248063079462	1.52795892560463e-07	2.81188098280555e-05
Pdia3	-0.115285581220374	0.383409138510707	0.933697061922062	0.789486514583461	9.77273058223141	17.2363206916539	1.91870628050018e-07	3.49765674133065e-05
Hid1	-0.0924027778515338	0.296354785215789	0.816057739661239	0.604499076283935	7.47037129265482	17.181806813957	1.98155216392977e-07	3.57846097790793e-05
Herc4	0.343528457555909	0.89263158387393	0.417696540501633	-0.289080937904513	6.11451214635339	17.087848760319	2.09507779196253e-07	3.74844334945297e-05
Gc	-0.221270963224469	0.520890730582233	0.330367417462135	1.53221962916755	5.71338368655173	17.0321854814742	2.16558719535866e-07	3.83904966751517e-05
Gpt2	0.401690519445258	1.17553028609662	1.48308486916993	0.321552389644631	5.94400745713718	16.9698541380917	2.24755610170465e-07	3.89214351020886e-05
Chchd10	-0.330441955422416	0.174152669705234	0.482719453594994	1.2821642741012	5.99596542420664	16.969823035344	2.24759781929647e-07	3.89214351020886e-05
Lrrc59	-0.111315028713402	0.375869857775224	0.953989545275498	0.592162625690728	7.57764104007756	16.9604074058035	2.26026486627846e-07	3.89214351020886e-05
Yars	-0.116988850752684	0.541812559742172	0.914600928988875	0.221398682412634	6.54799397264408	16.9487102894897	2.27610731591161e-07	3.89214351020886e-05
Erf	0.709624398398981	1.14743174464164	0.0153202786784949	-0.231319545309474	4.50945095695798	16.8362446812567	2.43461160986664e-07	4.04111485153266e-05
Cckbr	0.13791322553318	1.27793892547592	1.30165486610099	1.07825319111827	4.28068689782505	16.832324642361	2.44034425229041e-07	4.04111485153266e-05
Aff2	-0.132699846050504	0.0932095354185729	1.26979736028833	0.49058132966823	6.06104491586149	16.8243627206693	2.45203205279707e-07	4.04111485153266e-05
Nap1l5	0.443811494750227	0.82719319618645	-0.0998447523884988	-0.246086177765819	7.41394755547912	16.8215182379511	2.45622209851289e-07	4.04111485153266e-05
Hapln4	-0.156544394622064	0.296300237448305	0.678781325254489	0.769790804986922	6.39701656416345	16.8136902288051	2.46779253987918e-07	4.04111485153266e-05
Nucb2	-0.164903876533158	0.132801434524571	0.910782438963333	0.987692293955653	6.37179038385352	16.7586383409784	2.5508228048156e-07	4.14197891239091e-05
Fam134c	-0.91431958117859	-0.97864711697677	-0.394257918290634	-0.0170074263443236	6.41779176076504	16.6002139534769	2.80681258226432e-07	4.51966996059113e-05
Bhlha15	-0.0185665541683805	0.824032713188882	1.76149344462471	1.12291417621491	4.44067729809927	16.4651225105092	3.04675157194124e-07	4.83166652485194e-05
Serp1	-0.0457789035494483	0.340117546664979	0.98500149528546	0.622383229582842	8.92486936197644	16.4630607234263	3.05057866807399e-07	4.83166652485194e-05
Ppapdc1b	-0.233416745299228	0.201106617399093	0.822075572410818	0.913389051588645	5.9229570802112	16.2074672549238	3.56712353025324e-07	5.6038640630149e-05
