genes	logFC.time1h.treatTg	logFC.time2h.treatTg	logFC.time6h.treatTg	logFC.time24h.treatTg	logCPM	F	PValue	FDR
Cpox	0.00873788133118377	-0.0232141378929395	0.669921284090673	1.23695369616257	6.11556705322281	40.9820532424701	1.26859705200792e-12	2.41993459272214e-10
Nfe2l1	0.000862908766364687	0.309393752419217	1.15072387887918	1.33985713095051	8.13506931445188	40.9493827629146	1.28254375001764e-12	2.42469476454228e-10
Ddit3	0.610792382212937	1.51281216061071	2.23638455051968	3.22303258465061	5.05509545754628	40.7981970347181	1.35377279480899e-12	2.53670665108721e-10
Rasgef1b	0.484230379734584	0.435313737395407	0.90171496666213	2.04857087217742	4.98910998908095	40.621507698537	1.43716545417873e-12	2.66934573041933e-10
Sat1	-0.167509048988748	0.173750269987513	0.582842927575758	2.04718196524522	4.59132792768403	39.9881489244829	1.79194110878518e-12	3.29935313368847e-10
Slc9a9	-0.0871602788680879	0.183197170285831	0.95097416298728	1.63562805006532	4.63763188904486	39.8216795767864	1.898993015754e-12	3.46631707892889e-10
Slc30a4	0.00677080455564825	-0.05311627022462	0.397526145542577	1.20466774204471	7.26248665891452	39.7484137425809	1.94576729152813e-12	3.52133988297578e-10
Slc7a11	0.436196547847053	2.42997990023864	4.16063848164456	3.91798090726058	4.81196053026473	39.65437130822	2.04498567095224e-12	3.61511990269206e-10
Sytl4	-0.137475491700593	-0.220057818819337	-0.844735789710385	-1.44555414488768	8.13944179862454	39.6025501811854	2.04814275067339e-12	3.61511990269206e-10
Ssr3	-0.0920909347782947	-0.0211747288229749	0.569274407331596	1.19895096866678	8.99010691098239	39.601591460412	2.04880697233894e-12	3.61511990269206e-10
Atg13	-0.0143800518228259	-0.184971913109125	0.72504406989588	0.987552077116001	6.65553439741859	39.5779990857562	2.06617871626565e-12	3.61564199489329e-10
Vldlr	-0.110409332246796	0.12148326128182	1.22390132425558	1.07316181727631	7.46054218495116	39.5214147535535	2.10761325171093e-12	3.65791827801043e-10
Ghitm	-0.0506584150217183	0.0785246764723222	1.0528536888437	1.5039693183996	7.6127917114021	39.3846420112859	2.21197523458618e-12	3.80783444041689e-10
Mafa	0.331496431115686	0.18010850378819	-0.365382691409575	-1.97076612063983	7.64512526954566	39.3062446798296	2.27429673623387e-12	3.83306932511777e-10
Mpp2	0.089742971141908	-0.0640038865936545	-0.0175907446471344	-1.30491840873019	6.68084971259364	39.2912344357387	2.28662191506001e-12	3.83306932511777e-10
Fyn	0.0145157765413476	-0.391164813471054	0.689988739267822	1.31914072708208	5.6486756069701	39.271827246676	2.30302997103053e-12	3.83306932511777e-10
Ddr2	0.362705738297247	0.447861892686774	2.0536888199469	3.54040304810503	3.8548731355557	39.2985198173473	2.30896817669442e-12	3.83306932511777e-10
Fam151a	0.0171054255374522	-0.0266952553967174	-0.513524548360988	-2.75098482160559	5.95673603735663	39.2552558990197	2.31714779264699e-12	3.83306932511777e-10
Pgam1	0.0111103772492495	-0.172179369198181	-1.16356158452281	-1.11254114478602	7.1702452233194	39.168638649781	2.38821855546173e-12	3.9150768543454e-10
Lrrc59	0.03112712853793	0.185276659765945	0.747557744961808	1.07822084492959	7.63244945010183	39.1345697534766	2.41718156317497e-12	3.9150768543454e-10
Phgdh	0.354486891908503	-0.132939592377324	2.48568025051666	2.41785488499608	4.31117780987543	39.1405928605032	2.42219263209241e-12	3.9150768543454e-10
Dusp16	0.223101126846846	0.412209649422044	1.91480450117107	1.84367861108581	5.720467436087	39.0356234236476	2.50484190100092e-12	4.01799412210556e-10
Taf15	-0.299198353457638	0.142884706368538	1.03267505929442	1.89571384587381	6.69449874563372	38.8940225306684	2.63410299354409e-12	4.17922112897127e-10
Ly6e	0.104159513722751	-0.242134294860178	-0.934831110507378	-1.00250518714137	6.49268893749027	38.8826446603847	2.64482682196161e-12	4.17922112897127e-10
Got1	-0.116380900785341	-0.0068088198626698	0.763508829532775	1.10903135343927	6.05297855963177	38.7921369290317	2.73217476425958e-12	4.28526433025425e-10
Mknk1	-0.144484024848805	0.0935324094310315	1.2560257272762	1.59197723365542	5.20067800704961	38.7120430788379	2.81328524415499e-12	4.38003689409836e-10
