"gene"	"DMSO_0h"	"DMSO_1h"	"DMSO_24h"	"DMSO_2h"	"DMSO_6h"	"Tg_0h"	"Tg_1h"	"Tg_24h"	"Tg_2h"	"Tg_6h"
"Cdk4"	7.37569152073465	7.34131616982048	7.37838557963191	7.29455815908523	7.30243020801994	7.37569152073465	7.2670491772059	7.52129869936108	7.14219770280196	7.14598410571008
"Cdk5"	5.39892307722748	5.46780089330404	5.46841295741211	5.19137867729591	5.38936018496889	5.39892307722748	5.34953359967321	5.15387806577467	5.07525516227834	4.87313128808236
"Cdk5r1"	4.70450175070276	4.63825084789679	4.65130251398398	4.10560855343654	4.62617231726847	4.70450175070276	4.66672129852524	3.91707045601178	4.1830585105868	4.0733346591752
"Cdk5r2"	6.62388174832175	6.60251028937955	6.69548032842525	6.61207333818705	6.7221209905187	6.62388174832175	6.77267679148939	6.06954500685827	6.34536473984249	5.93089088417713
"Cdk5rap1"	3.03646714874623	3.14548412870882	3.14833413636359	3.37872026013157	3.27840564001717	3.03646714874623	3.1573242622922	3.63809810371291	3.43283857915925	3.49153206637538
"Cdk5rap2"	6.49653223501649	6.44788583106764	6.35691843340968	6.33120479294718	6.434058408487	6.49653223501649	6.25726410293947	6.393494108745	6.36380838397312	6.53192164355388
"Cdk5rap3"	5.47909607856862	5.53077961855119	5.4153992018606	5.47288077398662	5.37422425473616	5.47909607856862	5.40435272647075	6.0785627254384	5.40938963117946	5.74305072898559
"Cdk6"	-1.19798122068932	-2.01696337387461	-3.1615465543186	-2.60590327650776	-3.04267223626293	-1.19798122068932	-0.0223915015054031	-1.30334454592033	0.630034237108982	0.995194803777122
"Cdk7"	5.81531395061811	5.74035039889143	5.89497646793889	5.96516574373056	5.85190416156375	5.81531395061811	5.81453734478612	6.11106527376768	5.70425257194359	5.83834582409828
"Cdk8"	6.39093160671522	6.33984938604272	6.35202664069445	6.41429661427861	6.40971946786364	6.39093160671522	6.28750853448767	6.37476916086097	6.23041044441288	6.45237407049785
"Cdk9"	5.40192397922596	5.43997036604094	5.33517915685871	5.36001675930009	5.30742959091164	5.40192397922596	5.18535794049248	5.62199189564706	5.37024164202879	5.57325146288154
"Cdkal1"	5.11440186234476	5.07621201366796	5.16470047202106	4.65582634158109	5.17384110861255	5.11440186234476	5.0392162011115	5.29245150803997	5.12653298875419	5.15281480075437
"Cdkl1"	2.75822744359717	2.48767404299764	2.14594204598541	2.0183660841623	2.20568417292947	2.75822744359717	2.47883778051443	0.669360755120092	2.32103523590223	2.05938743056614
"Cdkl2"	5.41443049009252	5.36079635888925	5.5153983691832	5.50570468392543	5.30577883334324	5.41443049009252	5.34070481909759	5.61311935011149	5.24786619297624	5.24943838352187
"Cdkl3"	2.90282083944218	2.98010892051254	2.76650716954334	2.81615071932882	2.9212938573349	2.90282083944218	2.92061900847641	2.95114937179257	3.09868348306701	3.14842831328481
"Cdkl4"	-0.531752465921437	-0.777463294775396	-1.34310400933465	-2.60590327650776	-0.26931555140171	-0.531752465921437	0.496414169055712	-0.163600162269179	0.987461610275165	1.09563892754076
"Cdkl5"	5.1426902835126	5.20671277230841	5.25211841798637	5.28406221254282	5.28285932930477	5.1426902835126	5.23139863499327	5.20640670691439	5.12279462434354	5.2462801593994
"Cdkn1a"	6.65846184533008	6.7580628510101	6.733259935518	6.76542346011031	6.78926738236679	6.65846184533008	6.70626035636977	7.91663856923986	6.95691332507046	7.66520130326213
"Cdkn1b"	8.66920712322488	8.66500239922885	8.70171690742008	8.57323046263427	8.62965945516145	8.66920712322488	8.63611661603638	8.89175068465416	8.6656073076742	8.89208671220215
"Cdkn1c"	3.21865240697836	3.27538737629832	3.30947071179302	3.23814076874642	3.35890855289719	3.21865240697836	3.55461489965546	3.12360553264309	3.4000375055525	3.16108655029213
"Cdkn2a"	5.04583682114394	5.15860553896277	5.08974305836704	5.00746636816758	5.07797844501511	5.04583682114394	5.27385292196103	5.10195317755074	4.98573787040264	4.80320517500194
"Cdkn2aip"	5.38446241264702	5.39825645548125	5.3327336574846	5.64976343003242	5.38237570355716	5.38446241264702	5.55260069340345	6.27935174128481	5.83726820021602	6.23051028156213
"Cdkn2aipnl"	6.25281495753732	6.19694783762006	6.40845889056175	6.14828349901997	6.20034942670461	6.25281495753732	6.30344392399111	6.50181615489116	6.11527827166343	6.21583142890735
"Cdkn2b"	3.12803979335982	3.03577734805053	3.16287260444936	2.95161505829464	3.32869168965926	3.12803979335982	3.19769285873046	3.38953969051473	3.61266365565641	3.07294103783031
"Cdkn2c"	8.69941657391626	8.65326482437458	8.73459949568591	8.56496309886071	8.67328534946818	8.69941657391626	8.60384115727411	7.91405324083039	8.36232224826722	7.86009593322792
