"gene"	"DMSO_0h"	"DMSO_1h"	"DMSO_24h"	"DMSO_2h"	"DMSO_6h"	"SW_0h"	"SW_1h"	"SW_24h"	"SW_2h"	"SW_6h"
"Trmt61b"	3.02372256438125	3.01620129437218	2.92070448395646	3.21139319140398	2.91370586396669	3.02372256438125	3.39693177732447	2.89477585341312	3.74418852805183	3.9031320399432
"Trmu"	3.10763087466613	3.17425459439303	3.09381378956666	2.99279016547186	3.10087795530539	3.10763087466613	2.90990438877259	3.14336946286037	2.98489167436705	2.90120786036657
"Trnau1ap"	3.48885160565978	3.35455351080088	3.57806628785751	3.52568727656138	3.32412559163624	3.48885160565978	3.67267041648089	3.51077835211739	3.44117445534704	3.49107437473934
"Trnp1"	4.82099061918922	4.68527100425643	4.90664643136005	5.06979211675995	4.64761963875166	4.82099061918922	4.65548696624017	5.10829860360796	4.81823035410295	5.16923870671136
"Trnt1"	5.02584298504602	5.02658717927517	5.00047441990439	5.08932361889966	5.18866540352216	5.02584298504602	4.73222368819207	4.98609756368574	5.03741297951382	5.33446413692306
"Tro"	3.62667076688575	3.64765420053014	3.69937011994404	2.97340158264205	3.84593662389978	3.62667076688575	3.73549952756804	3.59263786641548	3.53042361006139	3.6607920846446
"Troap"	5.50977678666538	5.38390010987723	5.3732547847313	5.26651021763386	5.43553032780712	5.50977678666538	5.32020681444527	5.19300202326295	5.16341493100486	5.23126747852161
"Trove2"	7.68325937082707	7.70518237911194	7.84410043026664	7.72493977982731	7.77275960689055	7.68325937082707	7.51950027480513	7.60655108181228	7.60931280527147	7.45604770592415
"Trp53"	5.56533029534937	5.60613781240993	5.64409178265464	5.69662419781684	5.59880965278832	5.56533029534937	5.37309050390407	5.58832064000002	5.56237531671514	5.61789855872608
"Trp53bp1"	7.42902683346748	7.45163013039565	7.44925297470614	7.32459473980384	7.44059533121352	7.42902683346748	7.39586162304174	7.34889847131687	7.60485155076929	7.53497823496808
"Trp53bp2"	5.46759795087163	5.60378875294274	5.45876433691474	5.59739309026478	5.53927106890192	5.46759795087163	5.40840175496442	5.53054389764767	5.538140407644	5.42109175078964
"Trp53cor1"	-1.35213500979516	-0.360717738583843	0.0583976284959233	0.886326397016106	-0.330402905952906	-1.35213500979516	0.424833552892147	1.01197657359434	0.172424595586667	0.692482330255729
"Trp53i11"	6.47712828676414	6.53894357989417	6.5258313107799	6.36972999007304	6.47980436553343	6.47712828676414	6.37020608943336	6.62228274351045	6.54383172776445	6.32271300843736
"Trp53i13"	3.63249342621141	3.33156462662994	3.40575677773514	3.17857253994833	3.3579090510272	3.63249342621141	3.43113375405122	3.74933553161009	3.0786468916186	3.39517414378277
"Trp53inp1"	7.13225793101866	7.02633533523163	7.20254756129509	7.039646653871	7.18226457101496	7.13225793101866	6.90443780664807	7.42791641545679	7.31272466961314	7.42829720585235
"Trp53inp2"	9.56988773248059	9.55057416994714	9.60617608605227	9.46490841256718	9.50417767754552	9.56988773248059	9.48226169385227	9.61141044485946	9.67500210170923	9.48489362377842
"Trp53rka"	2.81450837709111	3.09554966295732	3.04676312779762	3.26892963420095	3.03016860999959	2.81450837709111	2.85264009245545	3.055776555429	3.02424684495985	3.44797836657263
"Trp53rkb"	2.89297697289067	3.21393091842403	2.72465076977224	2.98979111510959	2.89950447608516	2.89297697289067	2.77245065421418	2.82274878766521	2.98623532477011	2.96883066942526
"Trp63"	-3.5394046905319	-2.57321898620636	-3.62414281323662	-2.57679328431577	-3.56513474907643	-3.5394046905319	-0.65755965061305	-2.64094822207545	-1.14192985145016	-2.78154378172472
"Trp73"	1.77199650400065	1.92909846045957	1.74405101182647	2.01390215356528	1.88688330616003	1.77199650400065	2.80005717660988	1.78645941529998	1.80144761903908	1.77410816397657
"Trpa1"	-0.420755976493944	-0.137695450434025	-0.333665657451842	-2.39524708254879	0.197982083183072	-0.420755976493944	0.710542125653853	-0.173560259907355	0.323752332269781	-0.00372943747297231
"Trpc1"	5.60892079608863	5.71870737397291	5.69857061769459	5.66286414751759	5.64378441318551	5.60892079608863	5.89024269752916	5.53090544683673	6.02794749822722	5.51961407863085
"Trpc3"	-1.43548530661789	-1.24601047965941	-3.37554455058254	-2.60938248265776	-1.20685316832329	-1.43548530661789	0.564750161240721	-1.1957015972731	-0.62469689080169	-0.765227280568923
"Trpc4"	0.941449688424178	0.744064855161655	0.842488276152574	-0.486030626961338	1.09564196622591	0.941449688424178	1.39875133040596	1.26786396657957	1.16747427148751	0.986283084879777
"Trpc4ap"	7.2808668582079	7.26066830493837	7.2850810561819	7.1970492905417	7.26548527313324	7.2808668582079	7.0632773321931	7.38308854253385	7.27352757442568	7.29809304478247
"Trpc5"	-0.82687252865794	-0.301320052729418	0.316997662549119	-1.75631467536808	-0.213051179518931	-0.82687252865794	-0.302608886324483	-0.166963980220009	-0.1379503561666	0.239716092663056
"Trpc5os"	-2.62223511325346	-3.0536043584689	-3.03947796806566	-0.838399188808053	-3.46767781942545	-2.62223511325346	-1.98198777982734	-3.47331974308809	-2.82891916690407	-2.7063038503958
"Trpc6"	2.80512642118897	2.93582036214353	2.90877147807601	2.97369791607188	2.94379354311675	2.80512642118897	3.11560414421341	3.1371412171529	3.22657410967869	3.18446661522726
"Trpc7"	-1.71922322405199	-2.89667194862493	-3.20924545053815	-2.64434175006163	-3.34391291711744	-1.71922322405199	0.136730377927237	-2.3712528783665	-0.995467901224858	-1.96497046533813
